prov_persona_en_situacion_violencia,edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_con_la_persona_agresora
0,34.0,1,1,1,1,0,1,0
0,44.0,1,1,0,0,0,1,0
0,44.0,1,1,0,0,0,1,5
20,43.0,0,0,0,1,0,1,0
0,36.0,1,1,1,0,0,1,5
0,23.0,1,1,0,0,0,1,5
21,28.0,1,1,0,1,0,1,0
11,42.0,1,1,0,1,0,1,0
6,39.0,0,0,0,1,0,1,5
20,29.0,1,1,0,0,0,1,0
0,48.0,1,1,0,0,0,1,0
20,60.0,1,1,0,1,0,1,0
0,45.0,1,1,0,1,0,1,0
10,34.0,1,1,0,1,1,1,0
20,28.0,1,1,1,1,1,1,5
23,17.0,0,0,0,0,0,1,2
6,43.0,1,1,1,1,1,1,5
6,12.0,1,1,1,0,0,1,2
0,43.0,1,1,0,1,0,1,5
0,48.0,1,1,0,0,0,1,5
0,36.0,1,1,0,0,0,1,5
20,39.0,1,1,0,0,0,1,5
16,36.0,0,0,0,0,1,1,0
12,32.0,1,1,0,0,0,1,5
4,55.0,1,1,0,1,0,1,5
0,44.0,1,1,0,1,0,1,0
6,20.0,1,1,0,0,0,1,5
0,22.0,1,1,0,1,0,1,5
0,40.0,1,1,0,0,0,1,0
20,24.0,1,1,0,0,0,1,0
0,51.0,1,1,0,0,0,1,0
0,27.0,1,1,0,1,0,1,0
23,28.0,1,1,1,0,0,1,0
20,32.0,1,1,0,1,0,1,5
18,29.0,1,1,0,1,0,1,0
4,38.0,0,0,0,0,0,1,0
0,56.0,1,1,0,0,0,1,5
0,30.0,1,1,0,0,0,1,0
0,25.0,1,1,0,0,0,1,5
0,20.0,1,1,0,0,1,1,0
0,22.0,1,1,0,0,0,1,0
0,41.0,0,0,0,0,0,1,5
0,49.0,0,0,1,1,0,1,5
0,22.0,1,1,1,1,0,1,5
0,49.0,1,1,1,1,0,1,5
0,25.0,0,0,0,1,1,1,5
0,57.0,1,1,1,1,1,1,5
0,24.0,0,0,0,1,0,1,0
0,40.0,1,1,1,1,0,1,5
6,16.0,1,1,1,0,0,1,2
0,29.0,1,1,1,1,0,1,0
18,18.0,1,1,0,0,0,1,5
0,33.0,1,1,0,1,0,1,0
0,34.0,1,1,1,1,1,1,0
21,28.0,1,1,0,0,0,1,5
23,43.0,1,1,0,1,0,1,5
18,42.0,1,1,0,0,0,1,5
23,48.0,1,1,0,0,0,1,0
0,38.0,1,1,0,1,0,1,5
6,32.0,1,1,0,1,0,1,2
18,49.0,0,0,1,0,0,0,2
0,29.0,0,0,0,1,0,1,5
0,43.0,1,1,0,0,0,1,5
23,17.0,0,0,0,1,0,1,0
0,28.0,1,1,1,1,1,1,5
0,28.0,0,0,0,1,0,1,2
0,57.0,0,0,0,0,0,1,5
0,47.0,1,1,1,0,0,1,0
12,30.0,1,1,1,1,0,1,0
12,27.0,1,1,1,1,0,1,5
12,54.0,1,1,0,0,1,1,0
0,61.0,1,1,0,0,1,1,0
14,42.0,1,1,0,0,0,1,0
20,33.0,1,1,0,1,0,1,0
6,26.0,0,0,0,0,0,1,5
0,55.0,1,1,0,1,0,1,0
4,21.0,1,1,1,0,0,1,3
6,41.0,1,1,0,1,0,1,0
0,19.0,1,1,0,0,0,1,5
9,28.0,1,1,0,1,0,1,5
20,32.0,0,0,0,0,1,1,0
13,19.0,1,1,0,0,0,1,0
0,22.0,0,0,0,0,1,1,2
4,33.0,0,0,0,1,0,1,5
4,41.0,1,1,0,0,0,1,5
4,55.0,1,1,0,0,0,1,0
4,60.0,0,0,0,1,0,1,0
0,38.0,1,1,0,0,1,1,5
0,37.0,0,0,0,0,0,1,0
0,36.0,1,1,0,1,0,1,0
0,38.0,1,1,0,0,0,1,5
0,31.0,1,1,0,0,1,1,0
0,21.0,1,1,0,0,1,1,5
0,64.0,0,0,1,1,1,1,0
0,37.0,0,0,0,1,1,1,0
0,28.0,0,0,0,0,1,1,0
0,26.0,0,0,0,1,0,1,0
0,41.0,0,0,0,0,1,1,0
0,47.0,0,0,0,0,1,1,5
0,48.0,1,1,0,0,1,1,3
0,40.0,1,1,1,1,1,1,0
0,26.0,1,1,0,1,0,1,0
0,22.0,1,1,0,0,0,1,0
20,45.0,1,1,0,1,0,1,5
0,35.0,0,0,0,0,0,1,0
0,31.0,1,1,1,0,0,1,5
0,25.0,1,1,0,0,0,1,0
0,33.0,0,0,0,1,0,1,5
12,42.0,1,1,0,1,0,1,0
0,51.0,1,1,0,1,0,1,5
0,35.0,1,1,0,1,0,1,0
1,33.0,1,1,0,1,0,1,0
0,56.0,1,1,0,0,0,1,5
0,27.0,1,1,0,0,0,0,2
4,32.0,1,1,0,1,0,1,5
4,34.0,0,0,1,0,1,0,2
4,45.0,0,0,1,0,0,0,2
4,53.0,1,1,1,0,0,1,5
0,59.0,1,1,0,1,0,1,3
0,48.0,1,1,1,1,1,1,5
0,40.0,1,1,1,1,1,1,0
0,60.0,1,1,0,1,1,1,5
