edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_Ex pareja,vinculo_Madre o tutor,vinculo_Otro,vinculo_Otro familiar,vinculo_Padre o tutor,vinculo_Pareja,vinculo_Superior jerarquico
0.44067796610169496,1,1,0,0,0,1,1,0,0,0,0,0,0
0.5423728813559322,1,1,0,1,0,1,1,0,0,0,0,0,0
0.6271186440677966,0,0,0,0,0,1,1,0,0,0,0,0,0
0.3559322033898305,1,1,0,0,0,1,0,0,0,0,0,1,0
0.7796610169491526,1,1,1,1,1,1,1,0,0,0,0,0,0
0.4067796610169492,1,1,0,1,0,1,1,0,0,0,0,0,0
0.47457627118644063,1,1,0,1,0,1,1,0,0,0,0,0,0
0.4915254237288136,1,1,0,1,0,1,0,0,0,0,0,1,0
0.6779661016949152,1,1,0,0,0,1,0,0,0,0,0,1,0
0.423728813559322,0,0,0,0,0,1,0,0,0,0,0,1,0
0.288135593220339,1,1,0,0,0,1,0,0,0,0,0,1,0
0.2033898305084746,1,1,0,0,1,1,1,0,0,0,0,0,0
0.44067796610169496,1,1,0,0,0,1,1,0,0,0,0,0,0
0.44067796610169496,1,1,1,0,0,0,0,0,1,0,0,0,0
0.5084745762711864,1,1,0,1,1,1,1,0,0,0,0,0,0
0.6101694915254238,0,0,0,0,0,1,1,0,0,0,0,0,0
0.728813559322034,0,0,0,0,0,1,1,0,0,0,0,0,0
0.288135593220339,0,0,0,0,1,1,0,0,0,0,0,1,0
0.44067796610169496,1,1,0,0,1,1,1,0,0,0,0,0,0
0.6271186440677966,0,0,0,0,0,1,1,0,0,0,0,0,0
0.5423728813559322,1,1,0,1,1,1,1,0,0,0,0,0,0
0.423728813559322,1,1,1,0,1,1,1,0,0,0,0,0,0
0.3728813559322034,1,1,0,0,1,1,0,0,0,0,0,1,0
0.6779661016949152,1,1,0,1,1,1,1,0,0,0,0,0,0
0.6610169491525424,0,0,0,1,1,1,0,0,0,0,0,1,0
0.728813559322034,1,1,0,1,1,1,0,0,0,0,0,1,0
0.23728813559322032,0,0,1,0,0,1,0,0,0,1,0,0,0
